#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
1,"Dehra Dun Distt Cum Bijnor Distt (NORTH WEST) CUM
SAHARANPUR DISTRICT (WEST)",208,GEN,Uttar Pradesh [1947 - 1999],Mahavir Tyagi,Indian National Congress,"3,73,627","1,91,655",51.3 %
2,Adilabad,317,GEN,Hyderabad,C. Madhav Reddy,Socialist Party,"3,51,017","1,56,907",44.7 %
3,Agra District (EAST),227,GEN,Uttar Pradesh [1947 - 1999],Raghubir Singh,Indian National Congress,"3,76,255","1,56,403",41.6 %
4,Agra District (WEST),226,GEN,Uttar Pradesh [1947 - 1999],Achal Singh Seth,Indian National Congress,"3,74,135","1,77,414",47.4 %
5,Ahmedabad,60,GEN,Bombay,Mavlankar Ganesh Vasudeo,Indian National Congress,"7,27,815","7,26,462",49.9 %
6,Ahmedabad,60,GEN,Bombay,Vaishya Muldas Bhudardas,Indian National Congress,"7,27,815","7,26,462",49.9 %
7,Ahmednagar North,67,GEN,Bombay,Kanavade Pandharinath Ramchandra,Indian National Congress,"3,94,577","1,84,024",46.6 %
8,Ahmednagar South,68,GEN,Bombay,Bogavat Uttamchand Ramchand,Indian National Congress,"3,86,878","1,56,054",40.3 %
9,Ajmer North,381,GEN,Ajmer,Jawala Prashad,Indian National Congress,"1,62,327","97,165",59.9 %
10,Ajmer South,382,GEN,Ajmer,Mukat Behari Lal,Indian National Congress,"1,67,157","81,834",49.0 %
11,Aligarh District,225,GEN,Uttar Pradesh [1947 - 1999],Nardeo Ji,Indian National Congress,"7,72,202","7,44,815",48.2 %
12,Aligarh District,225,GEN,Uttar Pradesh [1947 - 1999],Shri Chand Singhal,Indian National Congress,"7,72,202","7,44,815",48.2 %
13,Allahabad Distt (EAST) CUM JAUNPUR DISTT (WEST),254,GEN,Uttar Pradesh [1947 - 1999],Jawahar Lal Nehru,Indian National Congress,"7,49,750","6,03,022",40.2 %
14,Allahabad Distt (EAST) CUM JAUNPUR DISTT (WEST),254,GEN,Uttar Pradesh [1947 - 1999],Masuriya Din,Indian National Congress,"7,49,750","6,03,022",40.2 %
15,Allahabad Distt (WEST),255,GEN,Uttar Pradesh [1947 - 1999],Sri Prakasa,Indian National Congress,"3,63,930","1,29,771",35.7 %
16,Alleppey,374,GEN,Travancore Cochin,P. T. Punnose,Independent,"3,49,268","2,75,409",78.9 %
17,Almora District (NORTH EAST),211,GEN,Uttar Pradesh [1947 - 1999],Devi Datt,Indian National Congress,"3,73,707","1,00,667",26.9 %
18,Alwar,348,GEN,Rajasthan,Sobha Ram,Indian National Congress,"3,82,999","1,99,856",52.2 %
19,Ambad,314,GEN,Hyderabad,Hanmanth Rao Ganeshrao,Indian National Congress,"3,81,233","1,45,667",38.2 %
20,Ambala Simla,193,GEN,Punjab,Tek Chand,Indian National Congress,"3,65,025","2,00,028",54.8 %
21,Amravati East,111,GEN,Madhya Pradesh [1947 - 1999],Panjabrao Shamrao Deshmukh,Indian National Congress,"3,57,241","2,21,630",62.0 %
22,Amravati West,112,GEN,Madhya Pradesh [1947 - 1999],Krushnarao Gulabrao Deshmukh,Indian National Congress,"3,84,307","2,07,654",54.0 %
23,Amritsar,207,GEN,Punjab,Gurmukh Singh Musaffar,Indian National Congress,"3,60,735","1,80,439",50.0 %
24,Anantapur,134,GEN,Madras,Paidi Lakshmayya,Indian National Congress,"3,64,429","2,15,922",59.3 %
25,Aruppukottai,164,GEN,Madras,U. Muthuramalinga Thevar,Forward Bloc (Marxist Group),"3,72,858","2,00,738",53.8 %
26,Aurangabad,313,GEN,Hyderabad,Sureshchandra Shivprasad Arya,Indian National Congress,"3,61,434","1,38,306",38.3 %
27,Autonomous Districts,2,GEN,Assam,Bonily Khongmen,Indian National Congress,"3,60,630","1,09,663",30.4 %
28,Azamgarh District (EAST) CUM BALLIA DISTRICT (WEST),273,GEN,Uttar Pradesh [1947 - 1999],Algu Rai Shastri,Indian National Congress,"3,83,060","1,53,266",40.0 %
29,Azamgarh District (WEST),272,GEN,Uttar Pradesh [1947 - 1999],Vishwa Nath,Indian National Congress,"7,60,755","5,55,502",36.5 %
30,Azamgarh District (WEST),272,GEN,Uttar Pradesh [1947 - 1999],Sita Ram,Indian National Congress,"7,60,755","5,55,502",36.5 %
31,Bahraich District (EAST),259,GEN,Uttar Pradesh [1947 - 1999],Rafi Ahmad Kidwai,Indian National Congress,"3,43,647","96,028",27.9 %
32,Bahraich District (WEST),260,GEN,Uttar Pradesh [1947 - 1999],Jogendra Singh,Indian National Congress,"3,68,993","1,42,131",38.5 %
33,Balaghat,99,GEN,Madhya Pradesh [1947 - 1999],C. D. Goutam,Indian National Congress,"3,70,922","1,79,578",48.4 %
34,Balasore,186,GEN,Orissa,Kanhu Charan Jena,Indian National Congress,"7,51,245","6,07,958",40.5 %
35,Balasore,186,GEN,Orissa,Bhagabat Sahu,Indian National Congress,"7,51,245","6,07,958",40.5 %
36,Ballia District (EAST),276,GEN,Uttar Pradesh [1947 - 1999],Murli Manohar,Independent,"3,68,287","1,26,480",34.3 %
37,Banaras District (CENTRAL),257,GEN,Uttar Pradesh [1947 - 1999],Raghunath Singh,Indian National Congress,"3,59,514","1,62,478",45.2 %
38,Banaras District (EAST),258,GEN,Uttar Pradesh [1947 - 1999],Tribhuan Narain Singh,Indian National Congress,"3,72,480","1,53,123",41.1 %
39,Banaskantha,55,GEN,Bombay,Chavda Akbar Dalumiyan,Indian National Congress,"3,72,878","1,40,636",37.7 %
40,Banda District Cum Fatehpur District,241,GEN,Uttar Pradesh [1947 - 1999],Shive Dayal,Indian National Congress,"7,80,133","3,56,961",22.9 %
41,Banda District Cum Fatehpur District,241,GEN,Uttar Pradesh [1947 - 1999],Piarey Lal Kureel,Indian National Congress,"7,80,133","3,56,961",22.9 %
42,Bangalore North,335,GEN,Mysore,N. Keshavaiengar,Indian National Congress,"3,89,996","1,77,057",45.4 %
43,Bangalore South,336,GEN,Mysore,T. Madiah Gowda,Indian National Congress,"3,45,824","1,55,948",45.1 %
44,Bankura,283,GEN,West Bengal,Jagannath Koley,Indian National Congress,"7,19,632","5,65,367",39.3 %
45,Bankura,283,GEN,West Bengal,Pashupati Mandal,Indian National Congress,"7,19,632","5,65,367",39.3 %
46,Banswara Dungarpur,360,ST,Rajasthan,Bhikha Bhai,Indian National Congress,"3,96,575","1,17,265",29.6 %
47,Bareilly District (SOUTH),213,GEN,Uttar Pradesh [1947 - 1999],Satish Chandra,Indian National Congress,"3,79,600","1,38,758",36.6 %
48,Bargarh,180,GEN,Orissa,Ghanshyam Das Thirani,Independent,"3,68,978","98,141",26.6 %
49,Barmer Jalore,352,GEN,Rajasthan,Bhawani Singh,Independent,"3,69,470","1,28,092",34.7 %
50,Baroda West,63,GEN,Bombay,Amin Indhubhai Bhailalbhai,Independent,"3,80,593","2,01,509",53.0 %
