#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,A And N Islands,501,GEN,Andaman & Nicobar Islands,K .R. Ganesh,Indian National Congress,"63,122","44,531",70.6 %,"17,333",38.9%
2,Adilabad,35,GEN,Andhra Pradesh,P. Ganga Reddy,Indian National Congress,"5,14,876","3,03,280",58.9 %,"14,950",4.9%
3,Adoor,163,SC,Kerala,K. Bhargavi,Communist Party Of India,"5,09,646","3,12,726",61.4 %,"1,08,897",34.8%
4,Agra,444,GEN,Uttar Pradesh [1947 - 1999],Achal Singh,Indian National Congress,"5,27,702","2,76,006",52.3 %,"1,13,061",41.0%
5,Ahmedabad,117,GEN,Gujarat,Indulal Kanaiyalal Yagnik,Indian National Congress,"4,96,387","3,41,898",68.9 %,"56,460",16.5%
6,Ahmednagar,239,GEN,Maharashtra,Annasaheb Pandurang Shinde,Indian National Congress,"5,00,698","2,88,234",57.6 %,"47,843",16.6%
7,Ajmer,320,GEN,Rajasthan,Bashweshwar Nath Bhargava,Indian National Congress,"5,23,158","2,71,172",51.8 %,"86,907",32.0%
8,Akbarpur,397,SC,Uttar Pradesh [1947 - 1999],Ramji Ram,Indian National Congress,"5,46,312","2,23,450",40.9 %,"66,884",29.9%
9,Akola,221,GEN,Maharashtra,K. M. Asgar Hussain Sardarkhan,Indian National Congress,"5,40,873","3,78,199",69.9 %,"1,66,449",44.0%
10,Aligarh,447,GEN,Uttar Pradesh [1947 - 1999],Shive Kumar  Shastri,Bharatiya Kranti Dal,"5,49,807","3,37,033",61.3 %,"35,881",10.6%
11,Alipore,473,GEN,West Bengal,Indrajit Gupta,Communist Party Of India,"6,42,566","3,68,717",57.4 %,"26,958",7.3%
12,Allahabad,427,GEN,Uttar Pradesh [1947 - 1999],Hemwate Nadan Bahuguna,Indian National Congress,"5,37,652","2,50,213",46.5 %,"95,888",38.3%
13,Almora,374,GEN,Uttar Pradesh [1947 - 1999],Narendra Singh,Indian National Congress,"4,83,252","1,39,400",28.9 %,"54,421",39.0%
14,Alwar,316,GEN,Rajasthan,Hari Prasad,Indian National Congress,"5,63,533","3,23,049",57.3 %,"74,137",22.9%
15,Amalapuram,9,SC,Andhra Pradesh,B. S. Murthy,Indian National Congress,"5,62,612","3,75,509",66.7 %,"2,57,559",68.6%
16,Ambala,133,SC,Haryana,Ram Prakash,Indian National Congress,"4,90,572","2,95,410",60.2 %,"1,22,276",41.4%
17,Ambalapuzha,161,GEN,Kerala,K. Balakrishnan,Revolutionary Socialist Party,"5,27,204","4,08,735",77.5 %,"25,918",6.3%
18,Amethi,395,GEN,Uttar Pradesh [1947 - 1999],Vidya Dhar Bajpai,Indian National Congress,"5,33,697","1,60,395",30.1 %,"74,977",46.7%
19,Amravati,222,GEN,Maharashtra,Krishna Gulab Deshmukh,Indian National Congress,"5,39,897","3,60,442",66.8 %,"2,15,904",59.9%
20,Amreli,114,GEN,Gujarat,Jivraj Narayan Mehta,Indian National Congress,"4,77,113","2,37,991",49.9 %,"38,818",16.3%
21,Amritsar,300,GEN,Punjab,Durga Das Bhatia,Indian National Congress,"5,12,028","3,46,287",67.6 %,"1,02,941",29.7%
22,Amroha,377,GEN,Uttar Pradesh [1947 - 1999],Ishaque Sambhali,Communist Party Of India,"5,36,743","2,76,017",51.4 %,"31,042",11.2%
