#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
1,Adilabad,35,GEN,Andhra Pradesh,Dr. S. Venugopal Chary,Telugu Desam,"10,94,868","7,70,154",70.3 %,"1,09,723",14.2%,AC View
2,Adoor,17,GEN,Kerala,Kodikunnil Suresh,Indian National Congress,"10,07,138","7,03,008",69.8 %,"22,006",3.1%,AC View
3,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Raj Babbar,Samajwadi Party,"12,50,278","6,42,572",51.4 %,"1,12,982",17.6%,AC View
4,Ahmedabad,10,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,"13,20,165","5,27,744",40.0 %,"52,968",10.0%,AC View
5,Ahmednagar,39,GEN,Maharashtra,Dilipkumar Mansukhlal Gandhi,Bharatiya Janta Party,"11,47,112","7,75,866",67.6 %,"28,457",3.7%,AC View
6,Ajmer,12,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,"11,06,811","5,94,384",53.7 %,"87,674",14.8%,AC View
7,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Mayawati,Bahujan Samaj Party,"12,30,232","7,49,450",60.9 %,"53,386",7.1%,AC View
8,Akola,19,GEN,Maharashtra,Ambedkar Prakash Yashwant,Bharipa Bahujan Mahasangh,"11,45,140","6,98,216",61.0 %,"8,716",1.2%,AC View
9,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Sheela Gautam,Bharatiya Janta Party,"12,53,174","5,64,618",45.1 %,"80,817",14.3%,AC View
10,Alipurduars,2,ST,West Bengal,Joachim Baxla,Revolutionary Socialist Party,"10,39,377","7,77,585",74.8 %,"1,53,133",19.7%,AC View
11,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Dr. Murli Manohar Joshi,Bharatiya Janta Party,"14,10,588","6,48,551",46.0 %,"70,331",10.8%,AC View
12,Alleppey,15,GEN,Kerala,V.M. Sudheeran,Indian National Congress,"10,33,539","7,93,041",76.7 %,"35,094",4.4%,AC View
13,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Bachi Singh Rawat,Bharatiya Janta Party,"9,65,628","4,03,872",41.8 %,"11,459",2.8%,AC View
14,Alwar,8,GEN,Rajasthan,Dr. Jaswant Singh Yadav,Bharatiya Janta Party,"11,56,697","6,19,741",53.6 %,"57,928",9.3%,AC View
15,Amalapuram,9,SC,Andhra Pradesh,Ganti Mohanachandra Balayogi,Telugu Desam,"9,08,257","6,85,230",75.4 %,"1,18,879",17.3%,AC View
16,Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,"10,91,846","6,98,854",64.0 %,"1,24,478",17.8%,AC View
17,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Sonia Gandhi,Indian National Congress,"11,10,623","6,38,178",57.5 %,"3,00,012",47.0%,AC View
18,Amravati,21,GEN,Maharashtra,Gudhe Anant Mahadeoappa,Shiv Sena,"11,24,886","6,98,233",62.1 %,"73,652",10.5%,AC View
19,Amreli,7,GEN,Gujarat,Dileep Sanghani,Bharatiya Janta Party,"8,74,521","4,16,598",47.6 %,"36,324",8.7%,AC View
20,Amritsar,2,GEN,Punjab,Raghunandan Lal  Bhatia,Indian National Congress,"12,44,316","5,96,536",47.9 %,"31,999",5.4%,AC View
21,Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Rashid Alvi,Bahujan Samaj Party,"12,22,239","7,78,257",63.7 %,"93,225",12.0%,AC View
22,Anakapalli,6,GEN,Andhra Pradesh,Ganta Srinivasa Rao,Telugu Desam,"10,35,708","7,64,079",73.8 %,"58,464",7.7%,AC View
23,Anand,20,GEN,Gujarat,Patel Dipakbhai Chimanbhai   (Sathi),Bharatiya Janta Party,"10,47,272","5,60,573",53.5 %,"3,661",0.7%,AC View
24,Anantapur,25,GEN,Andhra Pradesh,Kalava Srinivasulu,Telugu Desam,"12,26,314","7,72,471",63.0 %,"21,102",2.7%,AC View
25,Anantnag,3,GEN,Jammu & Kashmir,Ali Mohd Naik,Jammu & Kashmir National Conference,"8,04,911","1,15,243",14.3 %,"13,492",11.7%,AC View
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,"2,47,384","1,47,102",59.5 %,"13,947",9.5%,AC View
27,Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Kunwar Sarvraj Singh,Samajwadi Party,"10,08,983","5,92,306",58.7 %,"17,626",3.0%,AC View
28,Arakkonam,6,SC,Tamil Nadu,"Jagathrakshakan, S. Dr.",Dravida Munetra Kazhagam,"11,20,043","7,42,796",66.3 %,"95,644",12.9%,AC View
29,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),"11,43,407","9,44,408",82.6 %,"1,16,721",12.4%,AC View
30,Araria,22,SC,Bihar [1947 - 1999],Sukdeo Paswan,Rashtriya Janata Dal,"10,43,070","6,48,975",62.2 %,"2,169",0.3%,AC View
31,Arrah,36,GEN,Bihar [1947 - 1999],Ram Prasad Singh,Rashtriya Janata Dal,"11,21,825","6,89,472",61.5 %,"92,282",13.4%,AC View
32,Arunachal East,2,GEN,Arunachal Pradesh,Wangcha Rajkumar,Indian National Congress,"2,65,446","1,96,263",73.9 %,"41,403",21.1%,AC View
