#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
1,Adilabad,1,ST,Telangana,Godam Nagesh,Telangana Rashtra Samithi,"13,86,233","10,45,839",75.4 %,"1,71,290",16.4%,AC View
2,Agra,18,SC,Uttar Pradesh [2000 Onwards],Dr. Ram Shankar Katheria,Bharatiya Janta Party,"18,14,739","10,70,400",59.0 %,"3,00,263",28.1%,AC View
3,Ahmadnagar,37,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,"16,99,408","10,62,318",62.5 %,"2,09,122",19.7%,AC View
4,Ahmedabad East,7,GEN,Gujarat,Paresh Rawal,Bharatiya Janta Party,"16,01,832","9,85,525",61.5 %,"3,26,633",33.1%,AC View
5,Ahmedabad West,8,SC,Gujarat,Dr. Kirit P Solanki,Bharatiya Janta Party,"15,34,400","9,64,609",62.9 %,"3,20,311",33.2%,AC View
6,Ajmer,13,GEN,Rajasthan,Sanwar Lal Jat,Bharatiya Janta Party,"16,83,292","11,56,314",68.7 %,"1,71,983",14.9%,AC View
7,Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh @ Bhole Singh,Bharatiya Janta Party,"17,68,623","9,71,375",54.9 %,"2,78,997",28.7%,AC View
8,Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,"16,46,463","9,78,491",59.4 %,"2,03,116",20.8%,AC View
9,Alappuzha,15,GEN,Kerala,K C Venugopal,Indian National Congress,"12,71,324","9,97,464",78.5 %,"19,407",1.9%,AC View
10,Alathur,9,SC,Kerala,P.K.Biju,Communist Party Of India (MARXIST),"12,16,351","9,27,228",76.2 %,"37,312",4.0%,AC View
11,Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar,Bharatiya Janta Party,"17,93,126","10,64,357",59.4 %,"2,86,736",26.9%,AC View
12,Alipurduars,2,ST,West Bengal,Dasrath Tirkey,All India Trinamool Congress,"14,70,911","12,23,566",83.2 %,"21,397",1.7%,AC View
13,Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Shyama Charan Gupta,Bharatiya Janta Party,"16,66,569","8,91,582",53.5 %,"62,009",7.0%,AC View
14,Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,"12,54,328","6,56,525",52.3 %,"95,690",14.6%,AC View
15,Alwar,8,GEN,Rajasthan,Chand Nath,Bharatiya Janta Party,"16,28,067","10,62,305",65.3 %,"2,83,895",26.7%,AC View
16,Amalapuram,24,SC,Andhra Pradesh [2014 Onwards],Dr Pandula Ravindra Babu,Telugu Desam,"13,57,866","11,20,927",82.6 %,"1,20,576",10.8%,AC View
17,Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,"16,92,227","12,18,995",72.0 %,"3,40,074",27.9%,AC View
18,Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Hari Om Pandey,Bharatiya Janta Party,"17,18,774","10,34,404",60.2 %,"1,39,429",13.5%,AC View
19,Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,"16,69,843","8,74,625",52.4 %,"1,07,903",12.3%,AC View
20,Amravati,7,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,"16,11,365","10,04,061",62.3 %,"1,37,932",13.7%,AC View
21,Amreli,14,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,"14,86,286","8,08,816",54.4 %,"1,56,232",19.3%,AC View
22,Amritsar,2,GEN,Punjab,Captain Amarinder Singh,Indian National Congress,"14,77,262","10,07,196",68.2 %,"1,02,770",10.2%,AC View
23,Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Kanwar Singh Tanwar,Bharatiya Janta Party,"15,44,242","10,95,860",71.0 %,"1,58,214",14.4%,AC View
24,Anakapalli,22,GEN,Andhra Pradesh [2014 Onwards],Muttamsetti Srinivasa Rao (AVANTHI),Telugu Desam,"14,01,474","11,48,072",81.9 %,"47,932",4.2%,AC View
25,Anand,16,GEN,Gujarat,Dilip Patel,Bharatiya Janta Party,"14,96,859","9,70,894",64.9 %,"63,426",6.5%,AC View
26,Anandpur Sahib,6,GEN,Punjab,Prem Singh Chandumajra,Shiromani Akali Dal,"15,64,721","10,86,563",69.4 %,"23,697",2.2%,AC View
27,Anantapur,36,GEN,Andhra Pradesh [2014 Onwards],J.C. Divakar Reddi,Telugu Desam,"15,36,912","12,05,054",78.4 %,"61,269",5.1%,AC View
28,Anantnag,3,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,"13,01,023","3,75,279",28.8 %,"65,417",17.4%,AC View
29,Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,"2,69,360","1,90,328",70.7 %,"7,812",4.1%,AC View
30,Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Kumar,Bharatiya Janta Party,"16,53,577","9,95,641",60.2 %,"1,38,429",13.9%,AC View
31,Arakkonam,7,GEN,Tamil Nadu,"Hari, G.",All India Anna Dravida Munnetra Kazhagam,"14,01,545","10,89,052",77.7 %,"2,40,766",22.1%,AC View
32,Arambagh,29,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,"16,00,293","13,61,934",85.1 %,"3,46,845",25.5%,AC View
33,Arani,12,GEN,Tamil Nadu,V.Elumalai,All India Anna Dravida Munnetra Kazhagam,"13,69,668","10,96,046",80.0 %,"2,43,844",22.2%,AC View
34,Araria,9,GEN,Bihar [2000 Onwards],Tasleem Uddin,Rashtriya Janata Dal,"15,87,348","9,75,811",61.5 %,"1,46,504",15.0%,AC View
35,Arrah,32,GEN,Bihar [2000 Onwards],Raj Kumar Singh,Bharatiya Janta Party,"18,32,332","8,93,213",48.8 %,"1,35,870",15.2%,AC View
36,Aruku,18,ST,Andhra Pradesh [2014 Onwards],Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,"12,72,724","9,09,614",71.5 %,"91,398",10.0%,AC View
37,Arunachal East,2,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,"3,12,872","2,61,291",83.5 %,"12,478",4.8%,AC View
38,Arunachal West,1,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,"4,46,515","3,35,665",75.2 %,"41,738",12.4%,AC View
39,Asansol,40,GEN,West Bengal,Babul Supriya Baral (BABUL SUPRIYO),Bharatiya Janta Party,"14,69,684","11,42,395",77.7 %,"70,480",6.2%,AC View
40,Aska,19,GEN,Orissa,Ladu Kishore Swain,Biju Janata Dal,"14,08,780","8,96,281",63.6 %,"3,11,997",34.8%,AC View
41,Attingal,19,GEN,Kerala,Dr.A .Sampath,Communist Party Of India (MARXIST),"12,51,398","8,59,350",68.7 %,"69,378",8.1%,AC View
42,Aurangabad,37,GEN,Bihar [2000 Onwards],Sushil Kumar Singh,Bharatiya Janta Party,"15,36,153","7,86,274",51.2 %,"66,347",8.4%,AC View
43,Aurangabad,19,GEN,Maharashtra,Chandrakant Bhaurao Khaire,Shiv Sena,"15,89,393","9,82,933",61.8 %,"1,62,000",16.5%,AC View
